Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
8O0G8PQ9,13/01/2026,09:00,CZECH TIPSORT LIGA,-,Vlasim,Dukla Prague B,Betfair,2.1,2.7,3.6,Betfair,1.75,4.0,3.4,Betfair,1.13,5.2,Betfair,1.8,1.91,Betfair,3.6,1.25,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.65,2.1,Betfair,2.6,1.44,Betfair,1.29,3.3,Betfair,1.25,1.2,2.0
OWhDkv8C,13/01/2026,10:00,EUROPA U21,-,Newcastle Utd U21,Benfica B,Betano.br,5.6,2.62,1.78,Betano.br,6.4,5.0,1.37,Superbet.br,1.22,3.85,Betano.br,2.0,1.65,Superbet.br,4.1,1.2,,0.0,0.0,Superbet.br,1.11,5.55,Betano.br,1.4,2.52,Betano.br,1.95,1.67,Betano.br,3.0,1.29,Betano.br,1.62,2.05,Betano.br,3.0,1.15,1.11
2FPpXVio,13/01/2026,16:00,EUROPA U21,-,West Ham U21,Dortmund II,Betano.br,5.1,2.22,2.12,Betano.br,5.1,3.9,1.57,Superbet.br,1.32,3.1,Betano.br,2.52,1.4,Superbet.br,5.75,1.1,Superbet.br,1.03,10.0,Betano.br,1.25,3.2,Betano.br,1.75,1.85,Betano.br,2.75,1.34,Superbet.br,5.1,1.13,Betano.br,1.82,1.78,Betano.br,2.32,1.21,1.15
AkWh0sk1,13/01/2026,13:00,GAMBIA 1,Round 6,Fortune,Hawks,Betfair,2.88,1.83,4.5,Betfair,2.05,2.8,3.8,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,11.0,1.01,Betfair,1.08,6.5,Betfair,1.6,2.2,Betfair,2.88,1.36,Betfair,6.5,1.08,Betfair,13.0,1.01,Betfair,2.4,1.5,Betfair,1.22,1.36,1.67
GnZ0bLJD,13/01/2026,13:00,GAMBIA 1,Round 6,Medina United,BST Galaxy,Betfair,4.0,1.8,3.25,Betfair,3.1,2.5,2.6,Betfair,1.6,2.2,Betfair,4.5,1.17,Betfair,13.0,1.01,Betfair,1.11,5.5,Betfair,1.6,2.2,Betfair,3.0,1.33,Betfair,7.0,1.07,Betfair,13.0,1.01,Betfair,2.4,1.5,Betfair,1.44,1.44,1.3
4AQImPMh,13/01/2026,13:00,GAMBIA 1,Round 6,TMT,Falcons,Betfair,3.75,1.73,3.6,Betfair,2.8,2.55,2.8,Betfair,1.73,2.0,Betfair,4.8,1.14,Betfair,13.0,1.01,Betfair,1.13,5.2,Betfair,1.75,1.95,Betfair,3.6,1.25,Betfair,8.0,1.05,,0.0,0.0,Betfair,2.6,1.44,Betfair,1.36,1.44,1.36
CpF4L3bE,13/01/2026,12:00,GHANA 2,Round 15,Accra Lions,Port City,Betano.br,3.55,1.8,3.4,Betano.br,2.7,2.82,2.57,Betano.br,1.57,2.02,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.55,2.15,Betboom.br,2.75,1.39,,0.0,0.0,,0.0,0.0,SeguroBet,2.25,1.57,Betano.br,1.4,1.35,1.38
YN93M9RP,13/01/2026,08:30,IRAN CUP,1/8-finals,Foolad Hormozgan,Esteghlal F.C.,,0.0,0.0,0.0,SeguroBet,21.0,7.8,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,2.71,1.4,,0.0,0.0,0.0
QBspSzWP,13/01/2026,09:00,IRAN CUP,1/8-finals,Shams Azar Qazvin,Tractor,BR4Bet,5.0,1.84,2.57,Betano.br,,2.87,,BR4Bet,1.6,2.2,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betnacional,1.55,2.11,Betnacional,2.66,1.34,,0.0,0.0,,0.0,0.0,Estrelabet,2.54,1.45,Betnacional,1.68,1.31,
jLmBzQyq,13/01/2026,09:00,IRAQ 1,Round 12,Al Shorta,Al Mosul,Betano.br,2.0,2.07,6.7,Betano.br,1.44,3.7,6.8,Betano.br,1.42,2.35,BetEsporte,2.55,1.34,BetEsporte,6.0,1.06,BetEsporte,1.05,8.0,Estrelabet,1.33,3.0,Betano.br,1.95,1.67,Estrelabet,3.6,1.25,BetEsporte,5.4,1.07,Estrelabet,2.4,1.5,Betano.br,1.1,1.21,2.42
